ENSG00000228572.7,ENST00000431238.7
ENSG00000236513.1,ENST00000420725.1
ENSG00000235039.1,ENST00000428247.1
ENSG00000226313.1,ENST00000440559.1
ENSG00000238193.1,ENST00000434972.1
ENSG00000201660.1,ENST00000364790.1
ENSG00000236120.7,ENST00000422914.2
ENSG00000236120.7,ENST00000444185.5
ENSG00000236120.7,ENST00000667403.1
ENSG00000236120.7,ENST00000666122.1
ENSG00000146938.16,ENST00000477079.1
ENSG00000146938.16,ENST00000381093.6
ENSG00000146938.16,ENST00000381095.8
ENSG00000146938.16,ENST00000275857.10
ENSG00000146938.16,ENST00000538097.6
ENSG00000146938.16,ENST00000381092.1
ENSG00000146938.16,ENST00000469740.1
ENSG00000146938.16,ENST00000483337.1
ENSG00000252291.1,ENST00000516482.1
ENSG00000265284.1,ENST00000579149.1
ENSG00000237730.1,ENST00000437297.1
ENSG00000169059.13,ENST00000381089.7
ENSG00000169059.13,ENST00000398729.1
ENSG00000130021.15,ENST00000438499.1
ENSG00000130021.15,ENST00000655425.1
ENSG00000130021.15,ENST00000381077.10
ENSG00000130021.15,ENST00000412827.6
ENSG00000130021.15,ENST00000424830.6
ENSG00000130021.15,ENST00000486446.3
ENSG00000130021.15,ENST00000498474.2
ENSG00000237490.3,ENST00000463344.1
ENSG00000228550.1,ENST00000447553.1
ENSG00000101846.9,ENST00000664306.2
ENSG00000101846.9,ENST00000666110.2
ENSG00000101846.9,ENST00000674429.1
ENSG00000101846.9,ENST00000660000.2
ENSG00000101846.9,ENST00000658154.1
ENSG00000101846.9,ENST00000217961.5
ENSG00000264268.1,ENST00000582827.1
ENSG00000279682.1,ENST00000625074.1
ENSG00000182583.13,ENST00000381059.7
ENSG00000182583.13,ENST00000341408.6
ENSG00000182583.13,ENST00000688183.1
ENSG00000182583.13,ENST00000692567.1
ENSG00000182583.13,ENST00000620630.2
ENSG00000274923.1,ENST00000616145.1
ENSG00000006757.12,ENST00000381042.9
ENSG00000006757.12,ENST00000444736.5
ENSG00000006757.12,ENST00000537427.5
ENSG00000006757.12,ENST00000442940.1
ENSG00000285679.2,ENST00000659022.1
ENSG00000285679.2,ENST00000655333.1
ENSG00000285679.2,ENST00000422160.1
ENSG00000285679.2,ENST00000649338.1
ENSG00000207628.3,ENST00000384896.3
ENSG00000177504.10,ENST00000317103.5
ENSG00000205642.11,ENST00000381032.6
ENSG00000287171.1,ENST00000670272.1
ENSG00000011201.12,ENST00000262648.8
ENSG00000011201.12,ENST00000481896.1
ENSG00000011201.12,ENST00000488294.1
ENSG00000225574.1,ENST00000437611.1
ENSG00000183304.10,ENST00000543214.1
ENSG00000183304.10,ENST00000381003.7
ENSG00000231619.1,ENST00000422795.1
ENSG00000229012.1,ENST00000440430.1
ENSG00000285896.1,ENST00000650341.1
ENSG00000225271.1,ENST00000436419.1
ENSG00000177138.17,ENST00000362066.7
ENSG00000177138.17,ENST00000327220.10
ENSG00000177138.17,ENST00000428477.1
ENSG00000177138.17,ENST00000651278.1
ENSG00000177138.17,ENST00000472522.6
ENSG00000177138.17,ENST00000461107.5
ENSG00000177138.17,ENST00000494744.1
ENSG00000200852.1,ENST00000363982.1
ENSG00000219870.2,ENST00000434191.1
ENSG00000228543.1,ENST00000432442.1
ENSG00000232111.2,ENST00000416620.2
ENSG00000282306.1,ENST00000633785.1
ENSG00000282501.1,ENST00000631601.1
ENSG00000282358.1,ENST00000631952.1
ENSG00000282668.1,ENST00000633241.1
ENSG00000282299.1,ENST00000631993.1
ENSG00000282697.1,ENST00000633298.1
ENSG00000282222.1,ENST00000632688.1
ENSG00000281955.1,ENST00000631611.1
ENSG00000281941.1,ENST00000631903.1
ENSG00000282300.1,ENST00000632293.1
ENSG00000101849.18,ENST00000407597.7
ENSG00000101849.18,ENST00000380961.5
ENSG00000101849.18,ENST00000424279.6
ENSG00000101849.18,ENST00000645353.2
ENSG00000101849.18,ENST00000422314.5
ENSG00000101849.18,ENST00000645686.1
ENSG00000101849.18,ENST00000646640.1
ENSG00000101849.18,ENST00000647172.1
ENSG00000101849.18,ENST00000452824.5
ENSG00000101849.18,ENST00000415293.6
ENSG00000101849.18,ENST00000683056.1
ENSG00000101849.18,ENST00000647060.1
ENSG00000101849.18,ENST00000497555.1
ENSG00000101849.18,ENST00000684110.1
ENSG00000101850.13,ENST00000467482.6
ENSG00000101850.13,ENST00000487206.1
ENSG00000101850.13,ENST00000447366.5
ENSG00000101850.13,ENST00000431126.1
ENSG00000101850.13,ENST00000480178.1
ENSG00000146950.13,ENST00000380913.8
ENSG00000146950.13,ENST00000493668.1
ENSG00000146950.13,ENST00000418909.6
ENSG00000146950.13,ENST00000452575.1
ENSG00000215319.2,ENST00000400019.2
ENSG00000230326.1,ENST00000432945.1
ENSG00000206844.1,ENST00000384117.1
ENSG00000234469.4,ENST00000445307.4
ENSG00000047644.20,ENST00000380861.10
ENSG00000047644.20,ENST00000466248.1
ENSG00000225076.1,ENST00000430057.1
ENSG00000202469.1,ENST00000365599.1
ENSG00000073464.13,ENST00000380833.9
ENSG00000073464.13,ENST00000380829.5
ENSG00000073464.13,ENST00000421085.7
ENSG00000073464.13,ENST00000675769.1
ENSG00000073464.13,ENST00000675144.1
ENSG00000073464.13,ENST00000674669.1
ENSG00000073464.13,ENST00000454850.1
ENSG00000073464.13,ENST00000674959.1
ENSG00000227042.1,ENST00000454113.1
ENSG00000101871.17,ENST00000453318.6
ENSG00000101871.17,ENST00000380779.5
ENSG00000101871.17,ENST00000380780.5
ENSG00000101871.17,ENST00000317552.9
ENSG00000101871.17,ENST00000380785.5
ENSG00000101871.17,ENST00000380787.5
ENSG00000101871.17,ENST00000380782.6
ENSG00000101871.17,ENST00000691943.1
ENSG00000101871.17,ENST00000690004.1
ENSG00000101871.17,ENST00000689773.1
ENSG00000101871.17,ENST00000675073.1
ENSG00000101871.17,ENST00000674917.1
ENSG00000101871.17,ENST00000479925.1
ENSG00000101871.17,ENST00000413894.5
ENSG00000101871.17,ENST00000687008.1
ENSG00000101871.17,ENST00000691913.1
ENSG00000101871.17,ENST00000616003.5
ENSG00000101871.17,ENST00000675358.1
ENSG00000101871.17,ENST00000610939.1
ENSG00000101871.17,ENST00000686012.1
ENSG00000101871.17,ENST00000689180.1
ENSG00000101871.17,ENST00000693721.1
ENSG00000101871.17,ENST00000689988.1
ENSG00000207202.1,ENST00000384473.1
ENSG00000234129.9,ENST00000669054.1
ENSG00000234129.9,ENST00000608176.5
ENSG00000234129.9,ENST00000658066.1
ENSG00000234129.9,ENST00000608576.5
ENSG00000234129.9,ENST00000690117.1
ENSG00000234129.9,ENST00000433747.6
ENSG00000234129.9,ENST00000608916.1
ENSG00000234129.9,ENST00000686676.1
ENSG00000004961.15,ENST00000321143.8
ENSG00000004961.15,ENST00000380762.5
ENSG00000004961.15,ENST00000380763.7
ENSG00000207151.1,ENST00000384422.1
ENSG00000047648.23,ENST00000657361.1
ENSG00000047648.23,ENST00000380736.5
ENSG00000047648.23,ENST00000303025.10
ENSG00000047648.23,ENST00000495242.5
ENSG00000047648.23,ENST00000337414.9
ENSG00000047648.23,ENST00000489330.6
ENSG00000047648.23,ENST00000380717.7
ENSG00000047648.23,ENST00000380718.1
ENSG00000047648.23,ENST00000491514.1
ENSG00000278218.1,ENST00000615595.1
ENSG00000275194.1,ENST00000615678.1
ENSG00000125363.14,ENST00000348912.4
ENSG00000125363.14,ENST00000380714.7
ENSG00000125363.14,ENST00000380712.7
ENSG00000263652.1,ENST00000580117.1
ENSG00000232392.1,ENST00000446186.1
ENSG00000282840.1,ENST00000634846.1
ENSG00000223418.1,ENST00000422830.1
ENSG00000005302.19,ENST00000361672.6
ENSG00000005302.19,ENST00000650370.1
ENSG00000005302.19,ENST00000337339.7
ENSG00000005302.19,ENST00000647869.1
ENSG00000005302.19,ENST00000649988.1
ENSG00000005302.19,ENST00000312196.10
ENSG00000005302.19,ENST00000647701.1
ENSG00000005302.19,ENST00000648889.1
ENSG00000005302.19,ENST00000647857.1
ENSG00000005302.19,ENST00000468149.5
ENSG00000005302.19,ENST00000648918.1
ENSG00000005302.19,ENST00000649130.1
ENSG00000005302.19,ENST00000398527.7
ENSG00000005302.19,ENST00000476743.5
ENSG00000005302.19,ENST00000648120.1
ENSG00000005302.19,ENST00000473380.2
ENSG00000005302.19,ENST00000649078.1
ENSG00000005302.19,ENST00000649602.1
ENSG00000005302.19,ENST00000649308.1
ENSG00000005302.19,ENST00000650215.1
ENSG00000005302.19,ENST00000649785.1
ENSG00000005302.19,ENST00000649685.1
ENSG00000005302.19,ENST00000649684.1
ENSG00000005302.19,ENST00000649649.1
ENSG00000005302.19,ENST00000380693.8
ENSG00000005302.19,ENST00000478462.5
ENSG00000005302.19,ENST00000380692.7
ENSG00000005302.19,ENST00000648207.1
ENSG00000005302.19,ENST00000650628.1
ENSG00000005302.19,ENST00000649851.1
ENSG00000005302.19,ENST00000421368.3
ENSG00000005302.19,ENST00000649797.1
ENSG00000005302.19,ENST00000648614.1
ENSG00000005302.19,ENST00000482871.6
ENSG00000005302.19,ENST00000648013.1
ENSG00000005302.19,ENST00000649271.1
ENSG00000005302.19,ENST00000483645.6
ENSG00000005302.19,ENST00000494268.1
ENSG00000005302.19,ENST00000647985.1
ENSG00000005302.19,ENST00000650050.1
ENSG00000005302.19,ENST00000380691.3
ENSG00000005302.19,ENST00000648545.1
ENSG00000005302.19,ENST00000648656.1
ENSG00000005302.19,ENST00000650106.1
ENSG00000005302.19,ENST00000467141.2
ENSG00000005302.19,ENST00000648692.1
ENSG00000005302.19,ENST00000647839.1
ENSG00000005302.19,ENST00000648287.1
ENSG00000005302.19,ENST00000647599.1
ENSG00000005302.19,ENST00000649420.1
ENSG00000169933.17,ENST00000656302.1
ENSG00000169933.17,ENST00000640291.2
ENSG00000169933.17,ENST00000673271.2
ENSG00000169933.17,ENST00000672869.2
ENSG00000169933.17,ENST00000687851.1
ENSG00000169933.17,ENST00000672010.1
ENSG00000169933.17,ENST00000380682.5
ENSG00000169933.17,ENST00000675598.1
ENSG00000169933.17,ENST00000616992.2
ENSG00000169933.17,ENST00000657176.2
ENSG00000169933.17,ENST00000657982.1
ENSG00000169933.17,ENST00000672340.1
ENSG00000206792.1,ENST00000384065.1
ENSG00000206795.1,ENST00000384068.1
ENSG00000223487.1,ENST00000425057.1
ENSG00000231211.2,ENST00000443728.1
ENSG00000273800.1,ENST00000619728.1
ENSG00000271814.1,ENST00000606842.1
ENSG00000101911.13,ENST00000380663.7
ENSG00000101911.13,ENST00000398491.6
ENSG00000101911.13,ENST00000380668.10
ENSG00000101911.13,ENST00000489404.5
ENSG00000101911.13,ENST00000461630.1
ENSG00000229083.1,ENST00000457574.1
ENSG00000230691.1,ENST00000453682.1
ENSG00000196664.5,ENST00000380659.4
ENSG00000196664.5,ENST00000484204.1
ENSG00000233338.1,ENST00000451564.1
ENSG00000101916.12,ENST00000218032.7
ENSG00000101916.12,ENST00000311912.5
ENSG00000288817.1,ENST00000687478.1
ENSG00000205542.11,ENST00000451311.7
ENSG00000205542.11,ENST00000380636.1
ENSG00000205542.11,ENST00000380635.5
ENSG00000205542.11,ENST00000380633.1
ENSG00000187268.12,ENST00000380625.8
ENSG00000187268.12,ENST00000542843.5
ENSG00000187268.12,ENST00000468287.1
ENSG00000187268.12,ENST00000333995.7
ENSG00000187268.12,ENST00000438997.1
ENSG00000289596.1,ENST00000691924.1
ENSG00000261030.1,ENST00000568788.1
ENSG00000235385.3,ENST00000670053.2
ENSG00000235385.3,ENST00000412485.2
ENSG00000235385.3,ENST00000443965.1
ENSG00000231216.1,ENST00000431486.1
ENSG00000123594.7,ENST00000380622.5
ENSG00000235592.1,ENST00000458400.1
ENSG00000226985.7,ENST00000669963.1
ENSG00000226985.7,ENST00000661545.1
ENSG00000226985.7,ENST00000659526.1
ENSG00000226985.7,ENST00000656410.1
ENSG00000226985.7,ENST00000456091.2
ENSG00000226985.7,ENST00000661104.1
ENSG00000226985.7,ENST00000671651.1
ENSG00000226985.7,ENST00000655502.1
ENSG00000226985.7,ENST00000661629.1
ENSG00000226985.7,ENST00000656271.1
ENSG00000226985.7,ENST00000656979.1
ENSG00000226985.7,ENST00000661464.1
ENSG00000226985.7,ENST00000419566.5
ENSG00000226985.7,ENST00000668192.1
ENSG00000226985.7,ENST00000665887.1
ENSG00000226985.7,ENST00000659191.1
ENSG00000226985.7,ENST00000653729.1
ENSG00000226985.7,ENST00000667868.1
ENSG00000226985.7,ENST00000656111.1
ENSG00000226985.7,ENST00000667532.1
ENSG00000226985.7,ENST00000660305.1
ENSG00000226985.7,ENST00000446964.1
ENSG00000226985.7,ENST00000420403.1
ENSG00000197582.5,ENST00000388829.3
ENSG00000198759.12,ENST00000361306.6
ENSG00000198759.12,ENST00000380602.3
ENSG00000198759.12,ENST00000473826.1
ENSG00000233357.2,ENST00000457129.2
ENSG00000283493.1,ENST00000638065.1
ENSG00000199622.1,ENST00000362752.1
ENSG00000176896.9,ENST00000696126.1
ENSG00000176896.9,ENST00000696127.1
ENSG00000176896.9,ENST00000380600.2
ENSG00000176896.9,ENST00000696128.1
ENSG00000176896.9,ENST00000696129.1
ENSG00000176896.9,ENST00000544987.3
ENSG00000176896.9,ENST00000490617.1
ENSG00000176896.9,ENST00000696130.1
ENSG00000176896.9,ENST00000467590.1
ENSG00000176896.9,ENST00000463321.1
ENSG00000123595.8,ENST00000464506.2
ENSG00000123595.8,ENST00000243325.6
ENSG00000123595.8,ENST00000618931.2
ENSG00000196459.15,ENST00000359680.9
ENSG00000196459.15,ENST00000380579.6
ENSG00000196459.15,ENST00000683983.1
ENSG00000196459.15,ENST00000683569.1
ENSG00000196459.15,ENST00000458511.7
ENSG00000196459.15,ENST00000518847.2
ENSG00000196459.15,ENST00000380578.1
ENSG00000196459.15,ENST00000519382.1
ENSG00000196459.15,ENST00000517553.1
ENSG00000196459.15,ENST00000519885.5
ENSG00000046651.16,ENST00000485052.6
ENSG00000046651.16,ENST00000684577.1
ENSG00000046651.16,ENST00000380567.6
ENSG00000046651.16,ENST00000683427.1
ENSG00000046651.16,ENST00000683284.1
ENSG00000046651.16,ENST00000683713.1
ENSG00000046651.16,ENST00000340096.11
ENSG00000046651.16,ENST00000682953.1
ENSG00000046651.16,ENST00000682237.1
ENSG00000046651.16,ENST00000464463.6
ENSG00000046651.16,ENST00000683655.1
ENSG00000046651.16,ENST00000682562.1
ENSG00000046651.16,ENST00000398395.8
ENSG00000046651.16,ENST00000380550.6
ENSG00000046651.16,ENST00000683055.1
ENSG00000046651.16,ENST00000490265.6
ENSG00000046651.16,ENST00000684401.1
ENSG00000046651.16,ENST00000683454.1
ENSG00000046651.16,ENST00000466534.1
ENSG00000046651.16,ENST00000683637.1
ENSG00000046651.16,ENST00000683065.1
ENSG00000046651.16,ENST00000474705.1
ENSG00000046653.15,ENST00000316715.9
ENSG00000046653.15,ENST00000454189.6
ENSG00000046653.15,ENST00000493677.5
ENSG00000046653.15,ENST00000472735.5
ENSG00000046653.15,ENST00000355135.6
ENSG00000046653.15,ENST00000356942.9
ENSG00000046653.15,ENST00000398361.7
ENSG00000046653.15,ENST00000495211.2
ENSG00000046653.15,ENST00000493085.5
ENSG00000046653.15,ENST00000468080.1
ENSG00000046653.15,ENST00000475307.1
ENSG00000289449.1,ENST00000691797.1
ENSG00000233535.1,ENST00000448948.1
ENSG00000212663.2,ENST00000391359.2
ENSG00000046647.14,ENST00000680255.1
ENSG00000046647.14,ENST00000477386.2
ENSG00000046647.14,ENST00000380523.8
ENSG00000046647.14,ENST00000398355.7
ENSG00000046647.14,ENST00000332885.7
ENSG00000046647.14,ENST00000460203.1
ENSG00000233247.3,ENST00000411687.1
ENSG00000101958.14,ENST00000443437.6
ENSG00000101958.14,ENST00000218075.9
ENSG00000101958.14,ENST00000355020.8
ENSG00000101958.14,ENST00000415367.1
ENSG00000181544.16,ENST00000696351.1
ENSG00000181544.16,ENST00000696352.1
ENSG00000181544.16,ENST00000696353.1
ENSG00000181544.16,ENST00000696354.1
ENSG00000181544.16,ENST00000696322.1
ENSG00000181544.16,ENST00000452869.2
ENSG00000181544.16,ENST00000643728.2
ENSG00000181544.16,ENST00000696311.1
ENSG00000181544.16,ENST00000696355.1
ENSG00000181544.16,ENST00000696312.1
ENSG00000181544.16,ENST00000696356.1
ENSG00000181544.16,ENST00000646255.1
ENSG00000181544.16,ENST00000650831.1
ENSG00000181544.16,ENST00000324138.7
ENSG00000181544.16,ENST00000696357.1
ENSG00000181544.16,ENST00000696323.1
ENSG00000181544.16,ENST00000696313.1
ENSG00000181544.16,ENST00000489126.1
ENSG00000231066.3,ENST00000453156.3
ENSG00000130150.12,ENST00000380492.8
ENSG00000130150.12,ENST00000482354.5
ENSG00000130150.12,ENST00000461777.1
ENSG00000130150.12,ENST00000497603.2
ENSG00000130150.12,ENST00000495110.1
ENSG00000130150.12,ENST00000460386.1
ENSG00000235929.1,ENST00000448018.1
ENSG00000236929.2,ENST00000444401.2
ENSG00000102048.16,ENST00000477346.6
ENSG00000102048.16,ENST00000380483.7
ENSG00000102048.16,ENST00000380485.7
ENSG00000102048.16,ENST00000380488.9
ENSG00000102048.16,ENST00000546332.1
ENSG00000102048.16,ENST00000473862.5
ENSG00000102048.16,ENST00000481384.5
ENSG00000102048.16,ENST00000484017.5
ENSG00000102048.16,ENST00000470015.1
ENSG00000288980.1,ENST00000686493.1
ENSG00000165192.14,ENST00000380470.7
ENSG00000165192.14,ENST00000480796.6
ENSG00000165192.14,ENST00000344384.8
